"strain" "sex" "age" "litter" "littersize" "femalelitterratio" "cage" "tag" "nosesniff" "bodysniff" "anogenitalsniff" "pawing" "walkingpassive" "notwalkingpassive" "inactive" "rear" "selfgroom" "bigdig" "na" "sniff" "passivepawing" "nonsocial" "chambtime" "chambpref" "champrefchange" "snifftime" "sniffpref" "sniffprefchange" "stimfollowtest" "testfollowstim" "mousewtadj" "brainwt" "ccarea" "ccindex" "ccindexdiv"
"1" "balb/cj" "male" 30 "b15" 9 0.302428284297055 1 1 1.68015713531967 5.37650283161161 1.00809428099018 0 2.01618856198037 6.3845971126018 0 15.7934770722065 4.36840855062143 4.36840855062143 24.8663256011182 8.06475424792147 8.40078567458217 24.5302941674008 158.270802115459 14.5899997485154 -1.04214283917967 40.3237712396073 14.5899997485154 13.0267854897459 13.1052256528724 31.2509227106957 22.0873456964949 0.484389302015783 0.884451517426738 1.04522683603055 "ccindex"
"2" "balb/cj" "male" 30 "b15" 21 0.39515165514144 1 2 2.19528697344706 9.22020528663359 0 0.878114789642257 1.75622957796734 7.9030331028288 0 14.9279514120638 4.82963134105665 4.82963134105665 23 11.4154922600806 10.5373774704384 24.5872141020802 270.020297679984 17.606594345837 16.5709123254936 122.497013093846 10.0978996983477 10.1626298246191 32.92930459512 131.71721838048 27.0547166553506 0.62578850452566 1.13641664502127 1.30327432338223 "ccindex"
"3" "c57bl6/j" "male" 30 "c12" 3 0.453627682927534 2 3 7.40925215977538 7.93848445718571 1.05846459402681 0 1.3230807431289 10.5846459402681 0 11.9077266857786 4.2338583769011 0.793848445718571 13.4954235772157 16.4062012141633 11.9077266857786 16.9354335060167 181.791294069553 384.659754722112 360.22004654916 73.8279054518271 172.140553218183 176.390937248261 9.52618134862286 50.8063005259886 16.3929704040885 0.378586323763187 0.688766726958804 0.628883853853 "ccindex"
"4" "c57bl6/j" "male" 30 "c12" 3 0.553174600533843 2 4 9.03518514850648 6.77638886162187 0 0 5.8083333099616 12.9074073522434 0 20.6518517655255 4.51759257473727 4.84027775830134 10.6486110682629 15.8115740072242 18.715740662205 30.0097221014683 230.397221295144 341.96385430804 175.411510759046 120.038888405873 207.304512715236 189.586178295131 30.0097221014683 93.9013885110459 11.0261527334104 0.426718887171846 0.745557663666671 0.907520655630238 "ccindex"
"5" "c57bl6/j" "female" 30 "c13" 5 0.475159232973885 3 5 0.95031846594777 6.33545643996857 0.95031846594777 0 3.80127386379108 7.91932054924798 0 19.9566877849032 12.0373672385061 3.16772821950913 11.4038215913732 8.23609337186411 11.7205944101881 35.1617832400675 NA NA NA NA NA NA NA NA NA NA NA NA "ccindex"
"6" "c57bl6/j" "female" 30 "c13" 10 0.422180295366192 3 6 0.844360590732383 3.37744236292953 0 1.68872118146477 3.09598883296686 8.72505943475342 0 14.9170371057533 10.4137806162182 3.94034942369924 13.2283159242885 4.22180295366192 13.5097694517181 29.2711671482038 NA NA NA NA NA NA NA NA NA NA NA NA "ccindex"
"7" "balb/cj" "male" 30 "b10" 0 0.62430777568621 4 7 1.40469249669867 15.9198482912359 0 0 5.15053915503 15.9198482912359 0 18.2610024570827 3.27761582516199 10.7693091418247 21.07038745048 17.3245407879346 21.07038745048 32.3079274240693 178.395947080731 -26.0839476401722 -92.297045495994 103.947244755701 70.2260128773867 63.203411589648 64.6158548481386 126.42232470288 NA NA NA NA "ccindex"
"8" "balb/cj" "male" 30 "b10" 5 0.385644427011336 4 8 0.867699961643207 6.94159969314565 0.289233320258502 0 2.02463324354492 13.5939660686359 0.578466641384704 6.94159969314565 3.76003316683133 5.78466641124395 19.6678658001384 8.09853297504736 15.6185993095777 17.0647659152087 77.2252965862454 -136.611940733538 -37.0256661801177 1.73539992328641 -15.3209653159108 -6.38373554829615 103.256295435542 78.9606965095318 NA NA NA NA "ccindex"
"9" "c57bl6/j" "male" 30 "c15" 11 0.415706041130559 5 9 3.74135437391639 11.2240631217492 1.87067718695819 3.11779531222055 0 20.5774490565401 0.623559061695839 11.2240631217492 3.11779531222055 19.9538900004563 23 16.8360946826237 23.6952443743727 34.9193074961219 409.678303943844 199.305470409116 263.324803328407 183.326364321903 107.504162826735 108.712074768609 35.5428665522057 359.170019895973 NA NA NA NA "ccindex"
"10" "c57bl6/j" "male" 30 "c15" 12 0.163406902826878 5 10 1.47066212691257 4.4119863807377 0 0.980441417696602 4.16687602649739 4.90220708995367 0 4.16687602649739 2.20599319036885 7.10820028032252 19.1186076498634 5.88264850765027 10.0495245363537 13.4810694942474 102.211017820423 -1.95956249353917 -27.4338749095484 38.9725463631831 94.0589996898803 90.139874702802 19.1186076498634 108.82899739153 NA NA NA NA "ccindex"
"11" "balb/cj" "female" 30 "b15" 11 0.392777256218048 6 11 2.61851504145366 5.23703008290731 0 0 9.16480264508779 13.0925752072683 0 27.4944079352634 3.92777256218048 6.54628760363414 26.621569583748 7.85554512436097 22.2573778523561 37.968468101078 247.44967141737 108.560441446242 116.084432437565 72.0091636399755 33.3205315330048 34.3953873889082 82.4832238057901 153.183129925039 23.8808571780573 0.602258459534341 1.07620968203745 1.26625271208191 "ccindex"
"12" "balb/cj" "female" 30 "b15" 10 0.396293613460711 6 12 2.64195742307141 11.8888084038213 1.76130494827395 0 4.40326237134536 9.68717721748817 0 37.8680564017601 1.3209787115357 3.96293613460711 18.4937019614999 16.2920707712038 14.0904395941174 43.1519712479029 NA NA NA NA NA NA NA NA NA NA NA NA "ccindex"
"13" "balb/cj" "male" 30 "b11" 4 0.492410825294678 7 13 3.44687578001721 0.492410825294678 0 0 3.93928660678912 6.40134073473974 0 22.650897981282 2.46205412942786 6.40134073473974 23 3.93928660678912 10.3406273415289 31.5142928454496 394.421071455458 71.692973144551 59.594783926408 0 -1.49360360717815 -1.49360360717815 59.0892990944507 78.2933213001471 NA NA NA NA "ccindex"
"14" "balb/cj" "male" 30 "b11" 3 0.369961935087591 7 14 2.58973354783291 2.21977161274532 0.369961935087591 1.10988580637266 2.95969548403039 1.47984774146025 0 45.875279993037 4.06958129040305 3.32965741911798 8.87908645098128 5.17946709677571 5.5494290318633 28 NA NA NA NA NA NA NA NA NA NA NA NA "ccindex"
"15" "c57bl6/j" "female" 30 "c17" 8 0.3895752341611 8 15 4.285327580447 4.6749028146081 0 3.89575234511718 2.72702664146515 12.4664075095174 0 16.3621598511284 5.45405328409903 12.8559827401723 25.7119654803446 8.9602303950551 19.0891864890873 34.6721958789058 158.946695696675 -1.53306933812986 52.8908921654802 77.1358964410337 84.3188135971423 88.1514869424669 28.0494168876486 198.683369620844 17.3789512133056 0.489579197259834 0.8309990370677 0.997730759598389 "ccindex"
"16" "c57bl6/j" "female" 30 "c17" 2 0.32287252938924 8 16 3.55159782715611 6.45745059456513 0.645745059747098 0 2.58298023801977 10.0090484178468 0 12.5920286587724 11.9462835961194 4.52021541629245 16.7893715418011 10.6547934804997 12.5920286587724 29.0585276740902 108.48516998327 -10.2635574887141 -8.24194768033104 33.9016156197718 7.15338855274015 8.39745612712974 14.5292638370451 80.3952598983161 14.1418168013905 0.405850769848126 0.688977691152677 0.831579466272716 "ccindex"
"17" "c57bl6/j" "male" 30 "c17" 7 0.442065047218025 9 17 2.21032523874251 6.18891066768332 0 2.21032523874251 0.442065047218025 15.9143417157632 0 25.1977077166251 11.0516261910602 1.76826019019829 22.5453174306646 8.39923590509964 18.5667320017238 38.0175941031884 324.917810030166 411.883248454448 439.279152594767 148.53385601379 194.60538803123 202.162878828559 33.1548785745067 112.726587153323 22.9299140221289 0.559389111309078 0.953348640482797 1.12720868069388 "ccindex"
"18" "c57bl6/j" "male" 30 "c17" 7 0.387135599658433 9 18 1.93567800061498 8.12984760095695 1.16140680013671 0 5.03276280020526 7.35557640047868 0 16.2596952019139 3.09708480075169 4.25849160088839 26.7123564031443 11.2269324017086 12.3883392053296 23.6152715989084 239.249800828162 178.626739703927 175.146998021383 87.105510010253 69.5948336508807 73.0745753334247 30.1965768035544 150.982884017772 20.7891817224471 0.509741444580001 0.888511044308585 1.0141036849051 "ccindex"
"19" "balb/cj" "male" 30 "b27" 10 0.430654138609814 10 19 1.10739635610884 1.84566059333016 0 0 1.10739635610884 1.66109453416326 0 12.7350580952516 1.29196241527574 2.39935877138458 14.2115865719091 2.953056949439 2.76849089027209 16.4263792841267 82.5010285301083 6.17214966851159 13.8873367541511 44.2958542443535 10.1399601696976 9.25822450276738 20.4868325880135 39.3125706418637 11.6165877755817 0.261124060770464 0.472481729297396 0.521695653680225 "ccindex"
"20" "balb/cj" "male" 30 "b27" 10 0.124363624241819 10 20 0.319792176530452 0.479688264795678 0 0.159896088265226 0.106597392230116 0.586285657025794 0 3.1446230697491 0.319792176530452 2.13194784300336 3.78420742281 0.79948044132613 0.85277913736124 5.59636308928291 26.862542828558 144.721119798821 222.971492713299 13.7510635908094 117.796260301366 127.051680753616 3.83750611836543 14.5505440321356 3.12436956470252 0.0740158992579732 0.132686570925133 0.121648687478858 "ccindex"
"21" "c57bl6/j" "female" 30 "c19" 10 0.863399844335247 11 21 1.85014252357553 6.78385591977694 0 0 0 16.0345685376546 0 16.6512827121798 9.86742679240282 4.31699922167623 28.9855662026833 8.63399844335247 16.0345685376546 30.8357087262588 270.120808442027 248.10546216935 207.97075505372 128.276548301237 144.484945616269 140.106613930927 29.6022803772085 172.679968867049 21.4739875569666 0.530127504421841 0.913304355337824 1.13160601798561 "ccindex"
"22" "c57bl6/j" "female" 30 "c19" 5 0.410253239125976 11 22 0.879114083841377 2.05126619562988 0 0.293038027947126 0.586076055894251 7.91202675457239 0 11.4284830899379 6.15379858688964 0.586076055894251 12.8936732296735 2.93038027947126 8.79114083841377 18.1683577327218 135.383568911572 176.991213762057 152.56273894594 39.8531718008091 58.0752420156751 53.0051812047828 18.754433788616 78.5341914898297 9.38893841542591 0.247851564037679 0.423047279426148 0.570787397514067 "ccindex"
